KODE PROVINSI,KODE KAB_KOTA,PROVINSI,Jumlah Sekolah SD,Jumlah Kuota Murid SD,Jumlah Murid SD,Dropout SD,Jumlah Sekolah SMP,Jumlah Kuota Murid SMP,Jumlah Murid SMP,Dropout SMP,Jumlah Sekolah SMA,Jumlah Kuota Murid SMA,Jumlah Murid SMA,Dropout SMA,Jumlah Sekolah SMK,Jumlah Kuota Murid SMK,Jumlah Murid SMK,Dropout SMK,PAGU,Tingkatan,Jumlah Murid,Dropout,Catatan
31.0,31 00 ,GORONTALO,931.0,108058.0,87614.0,518.0,342.0,41425.0,30059.0,183.0,71.0,31646.0,14856.0,168.0,59.0,16807.0,12293.0,149.0,5027118670000.0,,,,
32.0,32 00 ,KEPULAUAN RIAU,982.0,227249.0,208974.0,271.0,415.0,99219.0,97438.0,19.0,168.0,57275.0,55985.0,61.0,104.0,37984.0,17092.0,8.0,8572641079000.0,,,,
33.0,33 00 ,PAPUA BARAT,569.0,71737.0,58502.0,584.0,164.0,27469.0,22780.0,112.0,64.0,16881.0,13717.0,72.0,21.0,6736.0,6398.0,75.0,5723145330000.0,,,,
34.0,34 00 ,SULAWESI BARAT,1329.0,143300.0,139453.0,402.0,378.0,51222.0,50746.0,166.0,92.0,29665.0,25136.0,82.0,130.0,25073.0,4940.0,356.0,1150174528000.0,,,,
35.0,35 00 ,KALIMANTAN UTARA,485.0,79877.0,77922.0,162.0,195.0,33093.0,27693.0,39.0,68.0,18886.0,17294.0,16.0,34.0,10457.0,5636.0,16.0,3293591130000.0,,,,
36.0,36 00 ,PAPUA SELATAN,606.0,94976.0,89777.0,1500.0,130.0,27592.0,22268.0,39.0,37.0,12884.0,11547.0,16.0,25.0,7007.0,4034.0,8.0,877061137000.0,,,,
37.0,37 00 ,PAPUA TENGAH,553.0,143052.0,77878.0,173.0,171.0,40604.0,21471.0,30.0,56.0,16214.0,15678.0,17.0,51.0,11181.0,8402.0,12.0,1335238381000.0,,,,
38.0,38 00 ,PAPUA PEGUNUNGAN,665.0,140165.0,127173.0,200.0,197.0,41813.0,20677.0,24.0,62.0,13843.0,13709.0,18.0,19.0,4425.0,4333.0,10.0,1345415032000.0,,,,
39.0,39 00 ,PAPUA BARAT DAYA,547.0,60227.0,57608.0,210.0,181.0,24650.0,23805.0,27.0,72.0,14260.0,13155.0,16.0,38.0,8985.0,5015.0,7.0,627771269000.0,,,,
,,KALIMANTAN SELATAN,,,,,,,,,,,,,,,,,,SMA,2.0,0.0,
